Image,Title,Price,Rating,Delivery,Link
https://m.media-amazon.com/images/I/61i5I8Ym97L._AC_UY218_.jpg,"AmazonBasics 1.5 Ton 3 Star 2021 Inverter Split AC, White  ","27,999",3.5,"Tue, 24 Aug, 7:00 am - 9:00 pm",https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A09334046MJ0U3BK9PN3&url=%2FAmazonBasics-Star-Inverter-Split-White%2Fdp%2FB08J8R76J8%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3DLg%2BInverter%2BAc%26qid%3D1629627236%26sr%3D8-22-spons%26psc%3D1&qualifier=1629627236&id=5435993122292901&widgetName=sp_btf
https://m.media-amazon.com/images/I/51naA87AyML._AC_UY218_.jpg,"Panasonic 1.5 Ton 4 Star Wi-Fi Twin-Cool Inverter Split Air Conditioner (Copper, Shield Blu Anti-Corrosion Technology, nanoe-G Air Purification, 2021 Model, CS/CU-WU18XKYXF, White)  ","40,990",4.3,"Tue, 24 Aug, 7:00 am - 9:00 pm",https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A092336424Y44DIWW5C13&url=%2FPanasonic-Conditioner-Anti-Corrosion-Purification-CU-WU18XKYXF%2Fdp%2FB08SHCDP4J%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DLg%2BInverter%2BAc%26qid%3D1629627240%26sr%3D8-1-spons%26psc%3D1&qualifier=1629627240&id=5003367788233675&widgetName=sp_atf
https://m.media-amazon.com/images/I/61vern5TkcL._AC_UY218_.jpg,"Panasonic 1.5 Ton 5 Star Wi-Fi Twin Cool Inverter Split AC (Copper, PM 2.5 Filter, 2020 Model, CS/CU-NU18WKYW White)  ","39,999",4.4,"Tue, 24 Aug, 7:00 am - 9:00 pm",https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0551654342W4K52OLD0R&url=%2FPanasonic-Inverter-Copper-CS-CU-NU18WKYW%2Fdp%2FB084365NVF%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3DLg%2BInverter%2BAc%26qid%3D1629627240%26sr%3D8-2-spons%26psc%3D1&qualifier=1629627240&id=5003367788233675&widgetName=sp_atf
https://m.media-amazon.com/images/I/51lyOjfKhML._AC_UY218_.jpg,"LG 1 Ton 5 Star Inverter Split AC (Copper, Convertible 5-in-1 Cooling, HD Filter, 2021 Model, MS-Q12YNZA, White)  ","38,190",4.4,"Tue, 24 Aug, 7:00 am - 9:00 pm",https://www.amazon.in//LG-Inverter-Convertible-Cooling-MS-Q12YNZA/dp/B08R92SRZJ/ref=sr_1_3?dchild=1&keywords=Lg+Inverter+Ac&qid=1629627240&sr=8-3
https://m.media-amazon.com/images/I/71C1YgTEg4L._AC_UY218_.jpg,"LG 1.5 Ton 3 Star Inverter Window AC (Copper, 2020 Model, JW-Q18WUXA1, White)  ","28,379",4.0,"Tue, 24 Aug, 7:00 am - 9:00 pm",https://www.amazon.in//LG-Inverter-Window-JW-Q18WUXA1-Discharge/dp/B082TG8SP1/ref=sr_1_4?dchild=1&keywords=Lg+Inverter+Ac&qid=1629627240&sr=8-4
https://m.media-amazon.com/images/I/61oBNxWvthL._AC_UY218_.jpg,"LG 1.5 Ton 4 Star Inverter Split AC (Copper, LS-Q18YNYA, Convertible 4-in-1 Cooling, White)  ","38,490",4.2,"Tuesday, August 24",https://www.amazon.in//LG-Inverter-LS-Q18YNYA-Convertible-Cooling/dp/B082TG6BGN/ref=sr_1_5?dchild=1&keywords=Lg+Inverter+Ac&qid=1629627240&sr=8-5
https://m.media-amazon.com/images/I/71WuTUFvmUL._AC_UY218_.jpg,"LG 1.5 Ton 5 Star Wi-Fi Inverter Window AC (Copper, 2020 Model, JW-Q18WUZA, White)  ","34,850",4.3,"Sun, 29 Aug, 8:00 am - 5:00 pm",https://www.amazon.in//LG-Inverter-Window-JW-Q18WUZA-Detection/dp/B082TGK3K8/ref=sr_1_6?dchild=1&keywords=Lg+Inverter+Ac&qid=1629627240&sr=8-6
https://m.media-amazon.com/images/I/51lyOjfKhML._AC_UY218_.jpg,"LG 1.5 Ton 5 Star Inverter Split AC (Copper, 4-in-1 Convertible Cooling, HD Filter with Anti-Virus Protection, 2021 Model, MS-Q18ENZA, White)  ","41,890",4.4,"Tue, 24 Aug, 7:00 am - 9:00 pm",https://www.amazon.in//LG-Convertible-Anti-Virus-Protection-MS-Q18ENZA/dp/B08RDL6H79/ref=sr_1_7?dchild=1&keywords=Lg+Inverter+Ac&qid=1629627240&sr=8-7
https://m.media-amazon.com/images/I/51lyOjfKhML._AC_UY218_.jpg,"LG 1.5 Ton 3 Star Inverter Split AC (Copper, Convertible 5-in-1 Cooling, HD Filter with Anti-Virus protection, 2021 Model, MS-Q18PNXA, White)  ","35,390",4.1,"Tue, 24 Aug, 7:00 am - 9:00 pm",https://www.amazon.in//LG-Convertible-Anti-Virus-protection-MS-Q18PNXA/dp/B08WC9TZD6/ref=sr_1_8?dchild=1&keywords=Lg+Inverter+Ac&qid=1629627240&sr=8-8
https://m.media-amazon.com/images/I/61z854BkuLL._AC_UY218_.jpg,"LG 1.5 Ton 5 Star Inverter Wi-Fi Window AC (Copper, 2020 Model, JW-Q18WUZA, White)  ","34,240",4.4,"Wednesday, August 25",https://www.amazon.in//LG-Inverter-Window-Copper-JW-Q18WUZA-TALG/dp/B07KRBW7X8/ref=sr_1_9?dchild=1&keywords=Lg+Inverter+Ac&qid=1629627240&sr=8-9
https://m.media-amazon.com/images/I/511CwCjVTFL._AC_UY218_.jpg,"LG 1.5 Ton 5 Star Wi-Fi Inverter Split AC (Copper, Convertible 5-in-1 Cooling, Anti-Allergy Filter, 2021 Model, MS-Q18SWZD, White)  ","45,990",4.3,"Tuesday, August 24",https://www.amazon.in//LG-Inverter-Convertible-Anti-Allergy-MS-Q18SWZD/dp/B08R929LB6/ref=sr_1_10?dchild=1&keywords=Lg+Inverter+Ac&qid=1629627240&sr=8-10
https://m.media-amazon.com/images/I/61N44JgNZjL._AC_UY218_.jpg,"Samsung 1 Ton 4 Star Inverter Split AC (Copper, Convertible 5 in 1, HD Filter, 2021 Model, Floral pattern, AR12AYMYATBNNA, White)  ","31,990",4.1,"Tue, 24 Aug, 7:00 am - 9:00 pm",https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A03248599CE0BTGH4LO4&url=%2FSamsung-Inverter-Convertible-pattern-AR12AYMYATBNNA%2Fdp%2FB08VVZ2MBT%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3DLg%2BInverter%2BAc%26qid%3D1629627240%26sr%3D8-11-spons%26psc%3D1&qualifier=1629627240&id=5003367788233675&widgetName=sp_mtf
https://m.media-amazon.com/images/I/61U4tuttpdL._AC_UY218_.jpg,"TCL 1.5 Ton 3 Star AI Ultra-Inverter Split AC (Copper, Vitamin C Filter, 2021 Model, TAC-18CSD/EV3S, White)  ","31,790",4.3,"Tue, 24 Aug, 7:00 am - 9:00 pm",https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A05953471QDTLKUOJ6FLR&url=%2FTCL-Ultra-Inverter-Vitamin-TAC-18CSD-EV3S%2Fdp%2FB08R587KHL%2Fref%3Dsr_1_12_sspa%3Fdchild%3D1%26keywords%3DLg%2BInverter%2BAc%26qid%3D1629627240%26sr%3D8-12-spons%26psc%3D1&qualifier=1629627240&id=5003367788233675&widgetName=sp_mtf
https://m.media-amazon.com/images/I/51lyOjfKhML._AC_UY218_.jpg,"LG 1.5 Ton 4 Star Inverter Split AC (Copper, Super Convertible 5-in-1 Cooling, HD Filter with Anti-Virus Protection, 2021 Model, MS-Q18HNYA1, White)  ","38,490",4.3,"Tuesday, August 24",https://www.amazon.in//LG-Convertible-Anti-Virus-Protection-MS-Q18HNYA1/dp/B08R93PZK5/ref=sr_1_13?dchild=1&keywords=Lg+Inverter+Ac&qid=1629627240&sr=8-13
https://m.media-amazon.com/images/I/61oBNxWvthL._AC_UY218_.jpg,"LG 1.5 Ton 3 Star Inverter Split AC (Copper, LS-Q18JNXA, White, 4-in-1 Convertible Cooling, 2020 Model)  ","34,300",4.1,"Wed, 1 Sep, 8:00 am - 5:00 pm",https://www.amazon.in//LG-Inverter-LS-Q18JNXA-Convertible-Cooling/dp/B0845F1V5H/ref=sr_1_14?dchild=1&keywords=Lg+Inverter+Ac&qid=1629627240&sr=8-14
https://m.media-amazon.com/images/I/51lyOjfKhML._AC_UY218_.jpg,"LG 1.5 Ton 3 Star Inverter Split AC (Copper, Convertible 4-in-1 Cooling, HD Filter, 2021 Model, LS-Q18PNXA1, White)  ","35,490",4.2,"Tuesday, August 24",https://www.amazon.in//LG-Inverter-Convertible-Cooling-LS-Q18PNXA1/dp/B08V4YFFQ2/ref=sr_1_15?dchild=1&keywords=Lg+Inverter+Ac&qid=1629627240&sr=8-15
https://m.media-amazon.com/images/I/51lyOjfKhML._AC_UY218_.jpg,"LG 1.5 Ton 5 Star with UV Nano Inverter Split AC (Copper, Convertible 5-in-1 Cooling, HD Filter with Anti Virus protection, 2021 Model, MS-Q18UVZA, White)  ","42,990",4.2,"Tue, 24 Aug, 7:00 am - 9:00 pm",https://www.amazon.in//LG-Inverter-Convertible-protection-MS-Q18UVZA/dp/B08R92WM34/ref=sr_1_16?dchild=1&keywords=Lg+Inverter+Ac&qid=1629627240&sr=8-16
https://m.media-amazon.com/images/I/71WuTUFvmUL._AC_UY218_.jpg,"LG 2.0 Ton 5 Star Wi-Fi Inverter Window AC (Copper, Air filter, 2020 Model, JW-Q24WUZA, White)  ","45,890",4.4,"Tue, 24 Aug, 7:00 am - 9:00 pm",https://www.amazon.in//LG-Inverter-Window-JW-Q24WUZA-Control/dp/B082TGHR94/ref=sr_1_17?dchild=1&keywords=Lg+Inverter+Ac&qid=1629627240&sr=8-17
